DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 1,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 2,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 3,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 4,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 5
-147,-302,0,1,,-147,-302,0,1,,50,-756,1,0,,-350,-694,0,1,,,,,,
-137,-302,1,0,,-137,-302,1,0,,-650,-476,1,0,,-327,-694,0,1,,,,,,
-127,-302,1,0,,-127,-302,1,0,,-650,-476,1,0,,-304,-694,0,1,,,,,,
-117,-302,1,0,,-117,-302,1,0,,-635,-476,1,0,,-280,-694,0,1,,,,,,
-107,-302,1,0,,-107,-302,1,0,,-619,-476,1,0,,-257,-694,0,1,,,,,,
-97,-302,1,0,,-97,-302,1,0,,-603,-476,1,0,,-234,-694,0,1,,,,,,
-87,-302,1,0,,-87,-302,1,0,,-587,-476,0,1,,-211,-694,0,1,,,,,,
-77,-302,1,0,,-77,-302,1,0,,-571,-476,0,1,,-188,-694,0,1,,,,,,
-67,-302,1,0,,-67,-302,1,0,,-555,-476,1,0,,-165,-694,0,1,,,,,,
-57,-302,1,0,,-57,-302,1,0,,-539,-476,1,0,,-142,-694,1,0,,,,,,
-46,-302,1,0,,-46,-302,1,0,,-524,-476,1,0,,-118,-694,1,0,,,,,,
-36,-302,1,0,,-36,-302,1,0,,-508,-476,1,0,,-95,-694,1,0,,,,,,
-26,-302,1,0,,-26,-302,1,0,,-492,-476,1,0,,-72,-694,1,0,,,,,,
-16,-302,1,0,,-16,-302,1,0,,-476,-476,1,0,,-49,-694,1,0,,,,,,
-6,-302,1,0,,-6,-302,1,0,,-460,-476,1,0,,-26,-694,1,0,,,,,,
4,-302,1,0,,4,-302,1,0,,-444,-476,1,0,,-3,-694,1,0,,,,,,
14,-302,1,0,,14,-302,1,0,,-428,-476,1,0,,20,-694,1,0,,,,,,
24,-302,1,0,,24,-302,1,0,,-412,-476,1,0,,43,-694,1,0,,,,,,
34,-302,1,0,,34,-302,1,0,,-397,-476,1,0,,50,-694,1,0,,,,,,
44,-302,1,0,,44,-302,1,0,,-381,-476,1,0,,-650,-538,1,0,,,,,,
50,-302,0,1,,50,-302,0,1,,-365,-476,1,0,,-650,-538,1,0,,,,,,
-650,-745,0,1,,-650,-745,0,1,,-349,-476,1,0,,-633,-538,1,0,,,,,,
-650,-745,0,1,,-650,-745,0,1,,-333,-476,1,0,,-615,-538,1,0,,,,,,
-626,-745,0,1,,-626,-745,0,1,,-317,-476,1,0,,-597,-538,1,0,,,,,,
-601,-745,0,1,,-601,-745,0,1,,-301,-476,1,0,,-579,-538,1,0,,,,,,
-576,-745,0,1,,-576,-745,0,1,,-286,-476,1,0,,-561,-538,1,0,,,,,,
-551,-745,0,1,,-551,-745,0,1,,-270,-476,1,0,,-543,-538,1,0,,,,,,
-526,-745,0,1,,-526,-745,0,1,,-254,-476,0,1,,-525,-538,1,0,,,,,,
-501,-745,0,1,,-501,-745,0,1,,-238,-476,0,1,,-507,-538,0,1,,,,,,
-477,-745,0,1,,-477,-745,0,1,,-222,-476,0,1,,-489,-538,0,1,,,,,,
-452,-745,0,1,,-452,-745,0,1,,-206,-476,1,0,,-471,-538,0,1,,,,,,
-427,-745,0,1,,-427,-745,0,1,,-190,-476,1,0,,-453,-538,0,1,,,,,,
-402,-745,0,1,,-402,-745,0,1,,-174,-476,1,0,,-435,-538,0,1,,,,,,
-377,-745,0,1,,-377,-745,0,1,,-159,-476,1,0,,-417,-538,0,1,,,,,,
-352,-745,0,1,,-352,-745,0,1,,-143,-476,1,0,,-399,-538,0,1,,,,,,
-328,-745,0,1,,-328,-745,0,1,,-127,-476,1,0,,-382,-538,0,1,,,,,,
-303,-745,0,1,,-303,-745,0,1,,-111,-476,1,0,,-364,-538,0,1,,,,,,
-278,-745,0,1,,-278,-745,0,1,,-95,-476,1,0,,-346,-538,0,1,,,,,,
-253,-745,0,1,,-253,-745,0,1,,-79,-476,1,0,,-328,-538,0,1,,,,,,
-228,-745,0,1,,-228,-745,0,1,,-63,-476,1,0,,-310,-538,0,1,,,,,,
-203,-745,1,0,,-203,-745,1,0,,-48,-476,1,0,,-292,-538,0,1,,,,,,
-179,-745,1,0,,-179,-745,1,0,,-32,-476,1,0,,-274,-538,0,1,,,,,,
-154,-745,1,0,,-154,-745,1,0,,-16,-476,1,0,,-256,-538,0,1,,,,,,
-129,-745,1,0,,-129,-745,1,0,,0,-476,1,0,,-238,-538,0,1,,,,,,
-104,-745,1,0,,-104,-745,1,0,,16,-476,1,0,,-220,-538,0,1,,,,,,
-79,-745,1,0,,-79,-745,1,0,,32,-476,1,0,,-202,-538,0,1,,,,,,
-54,-745,1,0,,-54,-745,1,0,,48,-476,1,0,,-184,-538,0,1,,,,,,
-30,-745,1,0,,-30,-745,1,0,,50,-476,1,0,,-166,-538,1,0,,,,,,
-5,-745,1,0,,-5,-745,1,0,,-650,-672,1,0,,-148,-538,1,0,,,,,,
20,-745,1,0,,20,-745,1,0,,-650,-672,1,0,,-130,-538,1,0,,,,,,
45,-745,1,0,,45,-745,1,0,,-628,-672,1,0,,-113,-538,1,0,,,,,,
50,-745,1,0,,50,-745,1,0,,-606,-672,1,0,,-95,-538,1,0,,,,,,
-650,-459,1,0,,-650,-459,1,0,,-583,-672,0,1,,-77,-538,1,0,,,,,,
-650,-459,1,0,,-650,-459,1,0,,-561,-672,0,1,,-59,-538,1,0,,,,,,
-635,-459,1,0,,-635,-459,1,0,,-539,-672,0,1,,-41,-538,1,0,,,,,,
-620,-459,1,0,,-620,-459,1,0,,-516,-672,0,1,,-23,-538,1,0,,,,,,
-605,-459,1,0,,-605,-459,1,0,,-494,-672,0,1,,-5,-538,1,0,,,,,,
-589,-459,1,0,,-589,-459,1,0,,-471,-672,0,1,,13,-538,1,0,,,,,,
-574,-459,1,0,,-574,-459,1,0,,-449,-672,0,1,,31,-538,1,0,,,,,,
-559,-459,1,0,,-559,-459,1,0,,-427,-672,0,1,,49,-538,1,0,,,,,,
-543,-459,0,1,,-543,-459,0,1,,-404,-672,0,1,,50,-538,1,0,,,,,,
-528,-459,0,1,,-528,-459,0,1,,-382,-672,0,1,,-650,-568,1,0,,,,,,
